code,name,current_stock,min_stock,base_price,wholesale_price,retail_price
PROD-38,CREMOSO DON OSVALDO,531,0,3850,5850,5850
PROD-39,DULCE DE LECHE DON OSVALDO 400GR,974,0,950,1500,1500
PROD-40,QUESO SABORIZADO DON OSVALDO (XKG),955,0,7200,10900,10900
PROD-42,SARDO FRESCO DON OSVALDO,935,0,6540,9900,9900
PROD-44,TYBO DON OSVALDO,120,0,5000,7600,7600
PROD-45,SARDO ESTACIONADO DON OSVALDO,817,0,7350,11150,11150
PROD-46,PAN DE HAMBURGUESA VIENA (4UN),1,0,352,500,500
PROD-47,PAN DE LOMO DOÑA AMALIA (6un),668,0,2880,4050,4050
PROD-48,PAN DE PAPA HAMBURGUESA (4un),350,0,2048,2900,2900
PROD-49,PAN PEBETON DOÑA AMALIA,820,0,2880,4050,4050
PROD-50,PRE PIZZA FINA,137,0,384,550,550
PROD-51,PRE PIZZA TIPO CASERA,87,0,512,750,750
PROD-52,LATA DULCE BATATA C/CHOCOLATE 5KG,974,0,9500,14950,14950
PROD-53,LATA BATATA X5KG,955,0,9800,15450,15450
PROD-54,LATA MEMBRILLO 5KG,997,0,12450,19600,19600
PROD-55,AZUCAR DULCY (SIN STOCK),985,0,520,800,800
PROD-56,TOMATE TRITURADO BOTELLA 1L,142,0,900,1400,1400
PROD-57,BONDIOLA GOGGI,861,0,11300.27,17100,17100
PROD-58,JAMON COCIDO NATURAL GOGGI,934,0,6420,9750,9750
PROD-59,JAMON COCIDO TRADICIONAL GOGGI,875,0,5800,8800,8800
PROD-60,JAMON CRUDO GOGGI,984,0,11400,17250,17250
PROD-62,MORTADELA BOCHA GOGGI,957,0,2720,4150,4150
PROD-63,MORTADELA GOGGI,988,0,2550,3900,3900
PROD-64,PALETA GOGGI AZUL,857,0,2170,3300,3300
PROD-65,PALETA SANDWICHERA FYGO,957,0,2020,3100,3100
PROD-66,PERNIL DE CERDO GOGGI,973,0,3580,5450,5450
PROD-67,SALAMES ETIQUETA AZUL GOGGI,968,0,7700,11650,11650
PROD-69,CREMOSO DE SEGUNDA,505,0,2150,3300,3300
PROD-70,CREMOSO IDEONI,1808,0,3719,5650,5650
PROD-72,PORSALUT IDEONI,980,0,4500,6850,6850
PROD-74,TYBO IDEONI,1524,0,5000,7600,7600
PROD-75,ARROLLADOS (MATAMBRE-POLLO) INVICTO,803,0,6000,9100,9100
PROD-76,FIAMBRE DE TERNERA INVICTO,939,0,7200,10900,10900
PROD-77,CREMA DE LECHE 200CC (LINEA ECO),803,0,780,1200,1200
PROD-78,LECHE LA LACTEO ( SIN STOCK ),407,0,920,1400,1400
PROD-79,PANCETA AHUMADA LA MEDALLA,993,0,6250,9500,9500
PROD-80,SALCHICHAS LA MEDALLA,119,0,660,840,840
PROD-81,QUESO CREMA LA PAULINA 4KG,973,0,19843,30100,30100
PROD-82,QUESO CREMA x290GR LA PAULINA,570,0,1539.81,2250,2250
PROD-83,QUESO DOBLE CREMA LA PAULINA 2KG,991,0,10938,16550,16550
PROD-84,BARRA SANDWICH PAULINA  3.5,892,0,7363.61,11150,11150
PROD-85,QUESO UNTABLE LA PAULINA,529,0,1141.18,1750,1750
PROD-86,QUESO DE CERDO LA PEQUEÑA,732,0,2780,4250,4250
PROD-87,JAMON COCIDO LA TIROLESA,2894,0,4410,6700,6700
PROD-88,SALAME MILAN TIROLESA,187,0,6000,9100,9100
PROD-89,PALETA LA JAMONADA TIROLESA,475,0,2650,4050,4050
PROD-90,PANCETA AHUMADA LA TIROLESA,960,0,6360,9650,9650
PROD-91,QUESO DE CERDO LA TIROLESA,869,0,2680,4100,4100
PROD-93,HOLANDA TIO PUJIO,609,0,7850,11900,11900
PROD-94,CHEDDAR EN BARRA LACTEAR,897,0,8000,12100,12100
PROD-95,QUESO AZUL EMPERADOR,1000,0,7530,11400,11400
PROD-96,BONDIOLA LARIO,999,0,12450,18850,18850
PROD-97,JAMON CRUDO TACURAL,992,0,15900,19900,19900
PROD-98,MAYONESA MAYODAN 3KG,963,0,2570,3900,3900
PROD-98-2,MAYONESA MAYODAN 3KG,963,0,2570,3900,3900
PROD-99,POR SALUT LA VICA,871,0,5000,7600,7600
